LUFS-I-InGame,LUFS-M-InGame,name,wwise_path,file_path,LUFS-I,LUFS-M-MAX,音频时长,OutPutBus_BusVolume,OutPutBus_Volume,父级名1,父级音量1,父级MakeUpGain1,父级名2,父级音量2,父级MakeUpGain2,父级名3,父级音量3,父级MakeUpGain3,父级名4,父级音量4,父级MakeUpGain4,父级名5,父级音量5,父级MakeUpGain5,父级名6,父级音量6,父级MakeUpGain6,父级名7,父级音量7,父级MakeUpGain7,父级名8,父级音量8,父级MakeUpGain8,父级名9,父级音量9,父级MakeUpGain9,父级名10,父级音量10,父级MakeUpGain10,父级名11,父级音量11,父级MakeUpGain11,父级名12,父级音量12,父级MakeUpGain12,父级名13,父级音量13,父级MakeUpGain13,父级名14,父级音量14,父级MakeUpGain14,父级名15,父级音量15,父级MakeUpGain15,父级名16,父级音量16,父级MakeUpGain16,父级名17,父级音量17,父级MakeUpGain17,父级名18,父级音量18,父级MakeUpGain18,Main_Mix&MasterAudio
-18.6 ,-15.2 ,SFX_Nikki_Skill_PoisonFairy_Cast_R01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_PoisonFairy\SFX_Nikki_Skill_PoisonFairy_Cast\SFX_Nikki_Skill_PoisonFairy_Cast_R01\SFX_Nikki_Skill_PoisonFairy_Cast_R01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\3C\SFX_Nikki_Skill_PoisonFairy_Cast_R01.wav,-22.6 ,-19.2 ,"{'max': 2.090104103088379, 'min': 2.090104103088379, 'type': 'oneShot'}",0,0,SFX_Nikki_Skill_PoisonFairy_Cast_R01,0,0,SFX_Nikki_Skill_PoisonFairy_Cast,0,4,Nikki_Skill_PoisonFairy,0,-3,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-18.8 ,-11.2 ,nikki_Float_start_231122,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Float\Nikki_Skill_Float\Nikki_Skill_Float_Default\nikki_Float_start_V2\nikki_Float_start_231122,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\float\nikki_Float_start_231122.wav,-23.8 ,-16.2 ,"{'max': 5.120562553405762, 'min': 5.120562553405762, 'type': 'oneShot'}",0,0,nikki_Float_start_V2,0,0,Nikki_Skill_Float_Default,0,0,Nikki_Skill_Float,0,0,Nikki_Skill_Float,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,3
-19.0 ,-15.9 ,nikki_skill_cleanse_spell,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Purege\Nikki_Skill_Purege\Nikki_Skill_CBT3\nikki_skill_cleanse_spell\nikki_skill_cleanse_spell,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\20240104\nikki_skill_cleanse_spell.wav,-21.0 ,-17.9 ,"{'max': 1.034822940826416, 'min': 1.034822940826416, 'type': 'oneShot'}",0,0,nikki_skill_cleanse_spell,-14,0,Nikki_Skill_CBT3,5,0,Nikki_Skill_Purege,6,0,Nikki_Skill_Purege,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,3
-19.2 ,-11.9 ,nikki_Float_start_231122_v2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Float\Nikki_Skill_Float\Nikki_Skill_Float_Default\nikki_Float_start_V2\nikki_Float_start_231122_v2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\nikki_Float_start_231122_v2.wav,-24.2 ,-16.9 ,"{'max': 5.120562553405762, 'min': 5.120562553405762, 'type': 'oneShot'}",0,0,nikki_Float_start_V2,0,0,Nikki_Skill_Float_Default,0,0,Nikki_Skill_Float,0,0,Nikki_Skill_Float,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,3
-19.3 ,-18.4 ,Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_FlowerCat\Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc\Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R03\Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\FlowerCat\Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R03.wav,-22.3 ,-21.4 ,"{'max': 0.6577097773551941, 'min': 0.6577097773551941, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R03,0,0,Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc,10,0,Nikki_Skill_FlowerCat,-10,0,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-19.4 ,-17.0 ,SFX_Nikki_Skill_PoisonFairy_FlyBy_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_PoisonFairy\SFX_Nikki_Skill_PoisonFairy_FlyBy\SFX_Nikki_Skill_PoisonFairy_FlyBy_R03\SFX_Nikki_Skill_PoisonFairy_FlyBy_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\3C\SFX_Nikki_Skill_PoisonFairy_FlyBy_R03.wav,-22.4 ,-20.0 ,"{'max': 2.3430416584014893, 'min': 2.3430416584014893, 'type': 'oneShot'}",0,0,SFX_Nikki_Skill_PoisonFairy_FlyBy_R03,0,0,SFX_Nikki_Skill_PoisonFairy_FlyBy,0,3,Nikki_Skill_PoisonFairy,0,-3,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-19.4 ,-17.3 ,SFX_Nikki_Skill_PoisonFairy_FlyBy_R01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_PoisonFairy\SFX_Nikki_Skill_PoisonFairy_FlyBy\SFX_Nikki_Skill_PoisonFairy_FlyBy_R01\SFX_Nikki_Skill_PoisonFairy_FlyBy_R01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\3C\SFX_Nikki_Skill_PoisonFairy_FlyBy_R01.wav,-22.4 ,-20.3 ,"{'max': 2.366666555404663, 'min': 2.366666555404663, 'type': 'oneShot'}",0,0,SFX_Nikki_Skill_PoisonFairy_FlyBy_R01,0,0,SFX_Nikki_Skill_PoisonFairy_FlyBy,0,3,Nikki_Skill_PoisonFairy,0,-3,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-19.5 ,-15.6 ,Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Raiden,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_FlowerCat\Sfx_3C_Nikki_Skill_LS_FlowerCatClothing_EndShow\Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Raiden,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\FlowerCat\Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Raiden.wav,-19.5 ,-15.6 ,"{'max': 5.059999942779541, 'min': 5.059999942779541, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_LS_FlowerCatClothing_EndShow,7,0,Nikki_Skill_FlowerCat,-10,0,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,,,,3
-19.6 ,-17.7 ,nikki_skill_recovery_dissipate,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Recovery\Nikki_Skill_Recovery_Cast\nikki_skill_recovery_dissipate\nikki_skill_recovery_dissipate,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\nikki_skill_recovery_dissipate.wav,-15.6 ,-13.7 ,"{'max': 2.0331873893737793, 'min': 2.0331873893737793, 'type': 'oneShot'}",0,0,nikki_skill_recovery_dissipate,-7,0,Nikki_Skill_Recovery_Cast,-2,0,Nikki_Skill_Recovery,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,3
-19.6 ,-15.7 ,nikki_skill_purege_ball_impact_06,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_5_1_3C\Dev1_5_1_3C\Nikki_Skill_1_5_1\Nikki_Skill_Purege\Nikki_Skill_Purege_NianNianDan\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_04\nikki_skill_purege_ball_impact\nikki_skill_purege_ball_impact_06\nikki_skill_purege_ball_impact_06,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Purage\nikki_skill_purege_ball_impact_06.wav,-30.6 ,-26.7 ,"{'max': 0.9527497887611389, 'min': 0.9527497887611389, 'type': 'oneShot'}",0,0,nikki_skill_purege_ball_impact_06,0,0,nikki_skill_purege_ball_impact,5,0,Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_04,3,0,Nikki_Skill_Purege_NianNianDan,0,0,Nikki_Skill_Purege,0,0,Nikki_Skill_1_5_1,0,0,Dev1_5_1_3C,0,0,Dev1_5_1_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
-19.7 ,-15.0 ,Sfx_3C_Nikki_Skill_SocialRing_NS_LongPressRattleEmpower_Burst,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_5_1_3C\Dev1_5_1_3C\Nikki_Skill_1_5_1\Nikki_Skill_SocialRing\Nikki_Skill_SocialRing_SpatializationMix\Sfx_3C_Nikki_Skill_SocialRing_NS_LongPressRattleEmpower_Burst\Sfx_3C_Nikki_Skill_SocialRing_NS_LongPressRattleEmpower_Burst,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\3C\Nikki_SocialRing\Sfx_3C_Nikki_Skill_SocialRing_NS_LongPressRattleEmpower_Burst.wav,-20.7 ,-16.0 ,"{'max': 3.429166555404663, 'min': 3.429166555404663, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_SocialRing_NS_LongPressRattleEmpower_Burst,0,0,Nikki_Skill_SocialRing_SpatializationMix,-2,0,Nikki_Skill_SocialRing,0,0,Nikki_Skill_1_5_1,0,0,Dev1_5_1_3C,0,0,Dev1_5_1_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-19.7 ,-16.8 ,nikki_skill_fall_start,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Ability\Nikki_Common_Obsolete\nikki_skill\nikki_skill_fall_start\nikki_skill_fall_start,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\nikki_skill_fall_start.wav,-18.7 ,-15.8 ,"{'max': 1.8076180219650269, 'min': 1.8076180219650269, 'type': 'oneShot'}",0,0,nikki_skill_fall_start,-4,0,nikki_skill,0,0,Nikki_Common_Obsolete,,,Ability,0,0,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,3
