LUFS-I-InGame,LUFS-M-InGame,name,wwise_path,file_path,LUFS-I,LUFS-M-MAX,音频时长,OutPutBus_BusVolume,OutPutBus_Volume,父级名1,父级音量1,父级MakeUpGain1,父级名2,父级音量2,父级MakeUpGain2,父级名3,父级音量3,父级MakeUpGain3,父级名4,父级音量4,父级MakeUpGain4,父级名5,父级音量5,父级MakeUpGain5,父级名6,父级音量6,父级MakeUpGain6,父级名7,父级音量7,父级MakeUpGain7,父级名8,父级音量8,父级MakeUpGain8,父级名9,父级音量9,父级MakeUpGain9,父级名10,父级音量10,父级MakeUpGain10,父级名11,父级音量11,父级MakeUpGain11,父级名12,父级音量12,父级MakeUpGain12,父级名13,父级音量13,父级MakeUpGain13,父级名14,父级音量14,父级MakeUpGain14,MainMix+MasterAudio
-33.5 ,-25.9 ,Sfx_LS_Evolution_S0117_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0117_LV04_Master\Sfx_LS_Evolution_S0117_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0117_LV04_Master.wav,-24.5 ,-16.9 ,"{'max': 26.33333396911621, 'min': 26.33333396911621, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0117_LV04_Master,-12,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-32.1 ,-23.2 ,Sfx_LS_Evolution_S0183_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0183_LV04_Master\Sfx_LS_Evolution_S0183_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0183_LV04_Master.wav,-27.1 ,-18.2 ,"{'max': 42.03864669799805, 'min': 42.03864669799805, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0183_LV04_Master,-8,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-49.3 ,-45.7 ,Sfx_LS_ClothingEvolution_FadeIn,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_ClothingEvolution_FadeIn\Sfx_LS_ClothingEvolution_FadeIn,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_ClothingEvolution_FadeIn.wav,-52.3 ,-48.7 ,"{'max': 4.489729404449463, 'min': 4.489729404449463, 'type': 'oneShot'}",0,0,Sfx_LS_ClothingEvolution_FadeIn,0,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-41.8 ,-38.7 ,Sfx_LS_ClothingEvolution_FadeOut,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_ClothingEvolution_FadeOut\Sfx_LS_ClothingEvolution_FadeOut,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_ClothingEvolution_FadeOut.wav,-41.8 ,-38.7 ,"{'max': 4.359062671661377, 'min': 4.359062671661377, 'type': 'oneShot'}",0,0,Sfx_LS_ClothingEvolution_FadeOut,-3,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-33.3 ,-26.4 ,Sfx_LS_Evolution_S0223_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0223_LV04_Master\Sfx_LS_Evolution_S0223_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0223_LV04_Master.wav,-36.3 ,-29.4 ,"{'max': 39.36927032470703, 'min': 39.36927032470703, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0223_LV04_Master,0,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-34.6 ,-26.2 ,Sfx_LS_Evolution_S0162_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0162_LV04_Master\Sfx_LS_Evolution_S0162_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0162_LV04_Master.wav,-32.6 ,-24.2 ,"{'max': 47.01900100708008, 'min': 47.01900100708008, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0162_LV04_Master,-5,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-31.7 ,-25.1 ,Sfx_LS_Evolution_S0178_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0178_LV04_Master\Sfx_LS_Evolution_S0178_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0178_LV04_Master.wav,-30.7 ,-24.1 ,"{'max': 37.9560432434082, 'min': 37.9560432434082, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0178_LV04_Master,-4,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-32.0 ,-22.0 ,Sfx_LS_Evolution_S0154_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0154_LV04_Master\Sfx_LS_Evolution_S0154_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0154_LV04_Master.wav,-31.0 ,-21.0 ,"{'max': 42.599998474121094, 'min': 42.599998474121094, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0154_LV04_Master,-4,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-31.6 ,-21.6 ,Sfx_LS_Evolution_S0326_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0326_LV04_Master\Sfx_LS_Evolution_S0326_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0326_LV04_Master.wav,-25.6 ,-15.6 ,"{'max': 53.55441665649414, 'min': 53.55441665649414, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0326_LV04_Master,-9,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-28.6 ,-19.7 ,Sfx_LS_Evolution_S0326_LV04_Master_V2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0326_LV04_Master\Sfx_LS_Evolution_S0326_LV04_Master_V2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0326_LV04_Master_V2.wav,-22.6 ,-13.7 ,"{'max': 53.55441665649414, 'min': 53.55441665649414, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0326_LV04_Master,-9,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-36.6 ,-25.9 ,Sfx_LS_Evolution_S0231_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0231_LV04_Master\Sfx_LS_Evolution_S0231_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0231_LV04_Master.wav,-35.6 ,-24.9 ,"{'max': 45.173770904541016, 'min': 45.173770904541016, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0231_LV04_Master,0,-4,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-35.3 ,-27.7 ,Sfx_LS_Evolution_S0330_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0330_LV04_Master\Sfx_LS_Evolution_S0330_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0330_LV04_Master.wav,-34.3 ,-26.7 ,"{'max': 31.00527000427246, 'min': 31.00527000427246, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0330_LV04_Master,-4,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-33.6 ,-27.1 ,Sfx_LS_Evolution_S0331_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0331_LV04_Master\Sfx_LS_Evolution_S0331_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0331_LV04_Master.wav,-32.6 ,-26.1 ,"{'max': 36.65956115722656, 'min': 36.65956115722656, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0331_LV04_Master,-4,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-30.7 ,-24.4 ,Sfx_LS_Evolution_S0239_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0239_LV04_Master\Sfx_LS_Evolution_S0239_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0239_LV04_Master.wav,-27.7 ,-21.4 ,"{'max': 40.16600036621094, 'min': 40.16600036621094, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0239_LV04_Master,-6,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.5 ,-20.1 ,Sfx_BK_FishingOpener_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_Event\Cutscene_Event\Cutscene_Event_1_1\Cutscene_Event_1_1\Sfx_BK_FishingOpener_Master\Sfx_BK_FishingOpener_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Cutscene\Event\Sfx_BK_FishingOpener_Master.wav,-26.5 ,-20.1 ,"{'max': 9.808917045593262, 'min': 9.808917045593262, 'type': 'oneShot'}",0,0,Sfx_BK_FishingOpener_Master,-3,0,Cutscene_Event_1_1,0,0,Cutscene_Event_1_1,,,Cutscene_Event,0,0,Cutscene_Event,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
-28.7 ,-24.4 ,Sfx_BK_WishingFes_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_Event\Cutscene_Event\Cutscene_Event_1_1\Cutscene_Event_1_1\Sfx_BK_WishingFes_Master\Sfx_BK_WishingFes_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Cutscene\Event\Sfx_BK_WishingFes_Master.wav,-28.7 ,-24.4 ,"{'max': 4.850354194641113, 'min': 4.850354194641113, 'type': 'oneShot'}",0,0,Sfx_BK_WishingFes_Master,-3,0,Cutscene_Event_1_1,0,0,Cutscene_Event_1_1,,,Cutscene_Event,0,0,Cutscene_Event,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
-37.2 ,-30.0 ,Sfx_LS_AssistedPath_Calinda_First_Performance,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_Event\Cutscene_Event\Cutscene_Event_1_1\Cutscene_Event_1_1\Sfx_LS_AssistedPath_Calinda_First_Performance\Sfx_LS_AssistedPath_Calinda_First_Performance,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\NPC\FuZhuDaoLu\Sfx_LS_AssistedPath_Calinda_First_Performance.wav,-34.2 ,-27.0 ,"{'max': 7.698931694030762, 'min': 7.698931694030762, 'type': 'oneShot'}",0,0,Sfx_LS_AssistedPath_Calinda_First_Performance,-6,0,Cutscene_Event_1_1,0,0,Cutscene_Event_1_1,,,Cutscene_Event,0,0,Cutscene_Event,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
-35.8 ,-27.3 ,Sfx_LS_EM_04_03_SC004_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_Event\Cutscene_Event\Cutscene_Event_1_1\Cutscene_Event_1_1\Sfx_LS_EM_04_03_SC004_Master\Sfx_LS_EM_04_03_SC004_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\cut_scene\Event\Sfx_LS_EM_04_03_SC004_Master.wav,-27.8 ,-19.3 ,"{'max': 49.13606262207031, 'min': 49.13606262207031, 'type': 'oneShot'}",0,0,Sfx_LS_EM_04_03_SC004_Master,-11,0,Cutscene_Event_1_1,0,0,Cutscene_Event_1_1,,,Cutscene_Event,0,0,Cutscene_Event,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
-21.1 ,-14.1 ,Sfx_LS_EM_04_03_SC006_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_Event\Cutscene_Event\Cutscene_Event_1_1\Cutscene_Event_1_1\Sfx_LS_EM_04_03_SC006_Master\Sfx_LS_EM_04_03_SC006_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Cutscene\Event\Sfx_LS_EM_04_03_SC006_Master.wav,-21.1 ,-14.1 ,"{'max': 62.529998779296875, 'min': 62.529998779296875, 'type': 'oneShot'}",0,0,Sfx_LS_EM_04_03_SC006_Master,-3,0,Cutscene_Event_1_1,0,0,Cutscene_Event_1_1,,,Cutscene_Event,0,0,Cutscene_Event,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
